0	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp	rightanswer_len	wronganswer_len	diff_len	rightanswer_numwords	wronganswer_numwords	diff_numwords
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	57.0	0.0	6.0	12.0	0.0
0.1	1.0	0.142857142857	0.0	0.285714285714	1.0	0.0	0.0	0.285714285714	0.0	0.0	0.142857142857	0.142857142857	37.0	46.1428571429	0.285714285714	6.57142857143	8.28571428571	0.142857142857
0.2	1.0	0.444444444444	0.0	0.222222222222	1.0	0.166666666667	0.0	0.333333333333	0.0	0.277777777778	0.222222222222	0.333333333333	34.3888888889	46.1111111111	0.222222222222	6.44444444444	8.94444444444	0.166666666667
0.3	1.0	0.5	0.0714285714286	0.380952380952	1.0	0.285714285714	0.214285714286	0.404761904762	0.0714285714286	0.309523809524	0.333333333333	0.428571428571	38.3095238095	41.119047619	0.404761904762	7.0	7.71428571429	0.309523809524
0.4	1.0	0.611764705882	0.176470588235	0.341176470588	1.0	0.541176470588	0.2	0.482352941176	0.176470588235	0.470588235294	0.294117647059	0.705882352941	36.7176470588	40.5176470588	0.376470588235	6.85882352941	7.77647058824	0.317647058824
0.5	1.0	0.76	0.184	0.496	1.0	0.648	0.24	0.664	0.184	0.696	0.392	0.736	37.8	40.184	0.416	7.12	7.672	0.344
0.6	1.0	0.8	0.351724137931	0.696551724138	1.0	0.731034482759	0.413793103448	0.579310344828	0.351724137931	0.786206896552	0.606896551724	0.68275862069	40.2344827586	40.7724137931	0.462068965517	7.8	7.77931034483	0.386206896552
0.7	1.0	0.807692307692	0.527472527473	0.703296703297	1.0	0.791208791209	0.532967032967	0.730769230769	0.527472527473	0.807692307692	0.714285714286	0.857142857143	40.0824175824	39.2362637363	0.516483516484	7.65384615385	7.41208791209	0.428571428571
0.8	1.0	0.924657534247	0.883561643836	0.465753424658	1.0	0.890410958904	0.897260273973	0.801369863014	0.883561643836	0.917808219178	0.452054794521	0.883561643836	40.3561643836	38.4246575342	0.547945205479	7.78082191781	7.37671232877	0.465753424658
0.9	1.0	0.977401129944	1.0	0.779661016949	1.0	0.898305084746	0.932203389831	0.745762711864	1.0	0.943502824859	0.790960451977	0.932203389831	38.7005649718	36.5762711864	0.514124293785	7.62146892655	6.93220338983	0.514124293785
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40.6707317073	35.2317073171	0.658536585366	7.95731707317	6.62195121951	0.634146341463
